method,model,rho,dense,corpus,ppl,ppl_tokens,num_blocks,num_iter,target_matrices,target_achieved_compression_ratio,realised_linear_ratio,realised_total_ratio,compress_seconds,baseline,dtype,seed,gpu,requested_compression_ratio,dense_ppl,dense_ppl_tokens,ppl_increase,ppl_increase_percent,peak_cuda_allocated_mb,peak_cuda_reserved_mb,peak_cpu_rss_mb,peak_cpu_rss_increase_mb,model_load_seconds,reconstruction_seconds,artifact_load_seconds,inference_seconds,metric_seconds,dense_inference_seconds,total_seconds,artifact_storage_mb,static_parameter_storage_mb,total_model_storage_mb,artifact_bits_per_compressed_parameter,total_model_bits_per_parameter,layers_evaluated,matrices_evaluated,package_versions,last_updated,source
blast,facebook/opt-125m,,True,ptb,38.98557060970799,96209,16,300,72,1.0,1.0,1.0,5.25300856679678e-06,BLAST,float16,42,NVIDIA GeForce RTX 4060,,38.98557060970799,96209,0.0,0.0,842.5615234375,1422.0,1553.53125,1007.58984375,0.28490015293937176,0.0,0.0,62.05996124900412,62.05996124900412,62.05996124900412,62.46359359694179,235.640625,3.234375,238.875,16.0,16.0,12,72,"{""python"": ""3.12.3"", ""torch"": ""2.14.0+cu130"", ""transformers"": ""4.45.2"", ""datasets"": ""5.0.1"", ""accelerate"": ""1.15.0"", ""lm_eval"": null}",2026-09-23T13:56:16,/home/xuy280/Desktop/ICLR submission for ARKS/3 baseline/rehearsal/BLAST/BLAST/local/runs/blast/opt-125m_rho100.json
blast,facebook/opt-125m,,True,wikitext2,27.650931930003416,286580,16,300,72,1.0,1.0,1.0,5.25300856679678e-06,BLAST,float16,42,NVIDIA GeForce RTX 4060,,27.650931930003416,286580,0.0,0.0,842.5615234375,1422.0,1553.53125,1007.58984375,0.28490015293937176,0.0,0.0,62.05996124900412,62.05996124900412,62.05996124900412,62.46359359694179,235.640625,3.234375,238.875,16.0,16.0,12,72,"{""python"": ""3.12.3"", ""torch"": ""2.14.0+cu130"", ""transformers"": ""4.45.2"", ""datasets"": ""5.0.1"", ""accelerate"": ""1.15.0"", ""lm_eval"": null}",2026-09-23T13:56:16,/home/xuy280/Desktop/ICLR submission for ARKS/3 baseline/rehearsal/BLAST/BLAST/local/runs/blast/opt-125m_rho100.json
blast,meta-llama/Llama-3.2-1B,0.33,False,c4,194492.70395999495,515844,16,300,112,0.3297540072737069,0.47222038078065337,0.47224924389940753,1933.7777370070107,BLAST,float16,42,NVIDIA GeForce RTX 4060,0.33,14.008602256650748,515844,194478.6953577383,1388280.513606611,5382.28759765625,6658.0,5006.0,4459.91796875,0.5571684479946271,1933.7777370070107,0.0,150.4051519400673,150.4051519400673,153.39392862992827,2085.064515032107,1113.0234375,0.12890625,1113.15234375,16.0,16.0,16,112,"{""python"": ""3.12.3"", ""torch"": ""2.14.0+cu130"", ""transformers"": ""4.45.2"", ""datasets"": ""5.0.1"", ""accelerate"": ""1.15.0"", ""lm_eval"": null}",2026-09-23T16:12:14,/home/xuy280/Desktop/ICLR submission for ARKS/3 baseline/rehearsal/BLAST/BLAST/local/runs/blast/Llama-3.2-1B_rho33.json
blast,meta-llama/Llama-3.2-1B,0.33,False,ptb,166865.83647861663,94162,16,300,112,0.3297540072737069,0.47222038078065337,0.47224924389940753,1933.7777370070107,BLAST,float16,42,NVIDIA GeForce RTX 4060,0.33,17.58257439962961,94162,166848.253904217,948940.9804956195,5382.28759765625,6658.0,5006.0,4459.91796875,0.5571684479946271,1933.7777370070107,0.0,150.4051519400673,150.4051519400673,153.39392862992827,2085.064515032107,1113.0234375,0.12890625,1113.15234375,16.0,16.0,16,112,"{""python"": ""3.12.3"", ""torch"": ""2.14.0+cu130"", ""transformers"": ""4.45.2"", ""datasets"": ""5.0.1"", ""accelerate"": ""1.15.0"", ""lm_eval"": null}",2026-09-23T16:12:14,/home/xuy280/Desktop/ICLR submission for ARKS/3 baseline/rehearsal/BLAST/BLAST/local/runs/blast/Llama-3.2-1B_rho33.json
blast,meta-llama/Llama-3.2-1B,0.33,False,wikitext2,335149.65346710937,288627,16,300,112,0.3297540072737069,0.47222038078065337,0.47224924389940753,1933.7777370070107,BLAST,float16,42,NVIDIA GeForce RTX 4060,0.33,9.74818145210467,288627,335139.90528565727,3437973.6049465844,5382.28759765625,6658.0,5006.0,4459.91796875,0.5571684479946271,1933.7777370070107,0.0,150.4051519400673,150.4051519400673,153.39392862992827,2085.064515032107,1113.0234375,0.12890625,1113.15234375,16.0,16.0,16,112,"{""python"": ""3.12.3"", ""torch"": ""2.14.0+cu130"", ""transformers"": ""4.45.2"", ""datasets"": ""5.0.1"", ""accelerate"": ""1.15.0"", ""lm_eval"": null}",2026-09-23T16:12:14,/home/xuy280/Desktop/ICLR submission for ARKS/3 baseline/rehearsal/BLAST/BLAST/local/runs/blast/Llama-3.2-1B_rho33.json
blast,meta-llama/Llama-3.2-1B,0.6,False,c4,18450.58585677688,515844,16,300,112,0.5998913995150862,0.6849378182011031,0.6849550482661474,5128.87995257508,BLAST,float16,42,NVIDIA GeForce RTX 4060,0.6,14.008602256650748,515844,18436.57725452023,131608.9708076853,5380.41259765625,6648.0,5146.359375,4600.265625,0.593797581968829,5128.87995257508,0.0,152.84295483201277,152.84295483201277,153.39392862992827,5282.703589709941,1614.3984375,0.12890625,1614.52734375,16.0,16.0,16,112,"{""python"": ""3.12.3"", ""torch"": ""2.14.0+cu130"", ""transformers"": ""4.45.2"", ""datasets"": ""5.0.1"", ""accelerate"": ""1.15.0"", ""lm_eval"": null}",2026-09-23T15:37:28,/home/xuy280/Desktop/ICLR submission for ARKS/3 baseline/rehearsal/BLAST/BLAST/local/runs/blast/Llama-3.2-1B_rho60.json
blast,meta-llama/Llama-3.2-1B,0.6,False,ptb,60753.50220787954,94162,16,300,112,0.5998913995150862,0.6849378182011031,0.6849550482661474,5128.87995257508,BLAST,float16,42,NVIDIA GeForce RTX 4060,0.6,17.58257439962961,94162,60735.919633479905,345432.46201056516,5380.41259765625,6648.0,5146.359375,4600.265625,0.593797581968829,5128.87995257508,0.0,152.84295483201277,152.84295483201277,153.39392862992827,5282.703589709941,1614.3984375,0.12890625,1614.52734375,16.0,16.0,16,112,"{""python"": ""3.12.3"", ""torch"": ""2.14.0+cu130"", ""transformers"": ""4.45.2"", ""datasets"": ""5.0.1"", ""accelerate"": ""1.15.0"", ""lm_eval"": null}",2026-09-23T15:37:28,/home/xuy280/Desktop/ICLR submission for ARKS/3 baseline/rehearsal/BLAST/BLAST/local/runs/blast/Llama-3.2-1B_rho60.json
blast,meta-llama/Llama-3.2-1B,0.6,False,wikitext2,35113.32942104621,288627,16,300,112,0.5998913995150862,0.6849378182011031,0.6849550482661474,5128.87995257508,BLAST,float16,42,NVIDIA GeForce RTX 4060,0.6,9.74818145210467,288627,35103.58123959411,360103.89642485685,5380.41259765625,6648.0,5146.359375,4600.265625,0.593797581968829,5128.87995257508,0.0,152.84295483201277,152.84295483201277,153.39392862992827,5282.703589709941,1614.3984375,0.12890625,1614.52734375,16.0,16.0,16,112,"{""python"": ""3.12.3"", ""torch"": ""2.14.0+cu130"", ""transformers"": ""4.45.2"", ""datasets"": ""5.0.1"", ""accelerate"": ""1.15.0"", ""lm_eval"": null}",2026-09-23T15:37:28,/home/xuy280/Desktop/ICLR submission for ARKS/3 baseline/rehearsal/BLAST/BLAST/local/runs/blast/Llama-3.2-1B_rho60.json
blast,meta-llama/Llama-3.2-1B,0.8,False,c4,199.67022259166626,515844,16,300,112,0.8001372238685345,0.8426197231650403,0.8426283299498695,8231.400572251994,BLAST,float16,42,NVIDIA GeForce RTX 4060,0.8,14.008602256650748,515844,185.6616203350155,1325.340079856079,5380.43603515625,6652.0,5193.890625,4647.6640625,0.551566347014159,8231.400572251994,0.0,150.44298066897318,150.44298066897318,153.39392862992827,8382.808633245877,1986.0546875,0.12890625,1986.18359375,16.0,16.0,16,112,"{""python"": ""3.12.3"", ""torch"": ""2.14.0+cu130"", ""transformers"": ""4.45.2"", ""datasets"": ""5.0.1"", ""accelerate"": ""1.15.0"", ""lm_eval"": null}",2026-09-23T18:42:22,/home/xuy280/Desktop/ICLR submission for ARKS/3 baseline/rehearsal/BLAST/BLAST/local/runs/blast/Llama-3.2-1B_rho80.json
blast,meta-llama/Llama-3.2-1B,0.8,False,ptb,207.61697377115038,94162,16,300,112,0.8001372238685345,0.8426197231650403,0.8426283299498695,8231.400572251994,BLAST,float16,42,NVIDIA GeForce RTX 4060,0.8,17.58257439962961,94162,190.03439937152078,1080.811006694924,5380.43603515625,6652.0,5193.890625,4647.6640625,0.551566347014159,8231.400572251994,0.0,150.44298066897318,150.44298066897318,153.39392862992827,8382.808633245877,1986.0546875,0.12890625,1986.18359375,16.0,16.0,16,112,"{""python"": ""3.12.3"", ""torch"": ""2.14.0+cu130"", ""transformers"": ""4.45.2"", ""datasets"": ""5.0.1"", ""accelerate"": ""1.15.0"", ""lm_eval"": null}",2026-09-23T18:42:22,/home/xuy280/Desktop/ICLR submission for ARKS/3 baseline/rehearsal/BLAST/BLAST/local/runs/blast/Llama-3.2-1B_rho80.json
blast,meta-llama/Llama-3.2-1B,0.8,False,wikitext2,128.48867696856502,288627,16,300,112,0.8001372238685345,0.8426197231650403,0.8426283299498695,8231.400572251994,BLAST,float16,42,NVIDIA GeForce RTX 4060,0.8,9.74818145210467,288627,118.74049551646034,1218.0784292933306,5380.43603515625,6652.0,5193.890625,4647.6640625,0.551566347014159,8231.400572251994,0.0,150.44298066897318,150.44298066897318,153.39392862992827,8382.808633245877,1986.0546875,0.12890625,1986.18359375,16.0,16.0,16,112,"{""python"": ""3.12.3"", ""torch"": ""2.14.0+cu130"", ""transformers"": ""4.45.2"", ""datasets"": ""5.0.1"", ""accelerate"": ""1.15.0"", ""lm_eval"": null}",2026-09-23T18:42:22,/home/xuy280/Desktop/ICLR submission for ARKS/3 baseline/rehearsal/BLAST/BLAST/local/runs/blast/Llama-3.2-1B_rho80.json
blast,meta-llama/Llama-3.2-1B,,True,c4,14.008602256650748,515844,16,300,112,1.0,1.0,1.0,7.485970854759216e-06,BLAST,float16,42,NVIDIA GeForce RTX 4060,,14.008602256650748,515844,0.0,0.0,5372.28759765625,6626.0,5334.96875,4789.02734375,0.5402702509891242,0.0,0.0,153.39392862992827,153.39392862992827,153.39392862992827,154.30805677594617,2357.0,0.12890625,2357.12890625,16.0,16.0,16,112,"{""python"": ""3.12.3"", ""torch"": ""2.14.0+cu130"", ""transformers"": ""4.45.2"", ""datasets"": ""5.0.1"", ""accelerate"": ""1.15.0"", ""lm_eval"": null}",2026-09-23T14:09:24,/home/xuy280/Desktop/ICLR submission for ARKS/3 baseline/rehearsal/BLAST/BLAST/local/runs/blast/Llama-3.2-1B_rho100.json
blast,meta-llama/Llama-3.2-1B,,True,ptb,17.58257439962961,94162,16,300,112,1.0,1.0,1.0,7.485970854759216e-06,BLAST,float16,42,NVIDIA GeForce RTX 4060,,17.58257439962961,94162,0.0,0.0,5372.28759765625,6626.0,5334.96875,4789.02734375,0.5402702509891242,0.0,0.0,153.39392862992827,153.39392862992827,153.39392862992827,154.30805677594617,2357.0,0.12890625,2357.12890625,16.0,16.0,16,112,"{""python"": ""3.12.3"", ""torch"": ""2.14.0+cu130"", ""transformers"": ""4.45.2"", ""datasets"": ""5.0.1"", ""accelerate"": ""1.15.0"", ""lm_eval"": null}",2026-09-23T14:09:24,/home/xuy280/Desktop/ICLR submission for ARKS/3 baseline/rehearsal/BLAST/BLAST/local/runs/blast/Llama-3.2-1B_rho100.json
blast,meta-llama/Llama-3.2-1B,,True,wikitext2,9.74818145210467,288627,16,300,112,1.0,1.0,1.0,7.485970854759216e-06,BLAST,float16,42,NVIDIA GeForce RTX 4060,,9.74818145210467,288627,0.0,0.0,5372.28759765625,6626.0,5334.96875,4789.02734375,0.5402702509891242,0.0,0.0,153.39392862992827,153.39392862992827,153.39392862992827,154.30805677594617,2357.0,0.12890625,2357.12890625,16.0,16.0,16,112,"{""python"": ""3.12.3"", ""torch"": ""2.14.0+cu130"", ""transformers"": ""4.45.2"", ""datasets"": ""5.0.1"", ""accelerate"": ""1.15.0"", ""lm_eval"": null}",2026-09-23T14:09:24,/home/xuy280/Desktop/ICLR submission for ARKS/3 baseline/rehearsal/BLAST/BLAST/local/runs/blast/Llama-3.2-1B_rho100.json
